Macrotrends Data Download,,,
,,,
North Carolina Crime Rate 1979-2018,,,
Original Source: FBI - Crime in the U.S.,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
date, NC, US,
1979/12/31,446.1113,548.8576,
1980/12/31,455.0055,596.6383,
1981/12/31,436.6661,593.4743,
1982/12/31,446.3366,570.8213,
1983/12/31,409.5857,538.1224,
1984/12/31,403.6496,539.9269,
1985/12/31,420.8953,558.064,
1986/12/31,475.8806,620.1437,
1987/12/31,484.0012,612.4915,
1988/12/31,501.8848,640.5839,
1989/12/31,546.3704,666.8998,
1990/12/31,623.5369,729.6139,
1991/12/31,658.3791,758.1771,
1992/12/31,680.9879,757.6663,
1993/12/31,679.3089,747.1478,
1994/12/31,654.9929,713.5909,
1995/12/31,646.3933,684.4633,
1996/12/31,588.1196,636.6358,
1997/12/31,607.0168,610.978,
1998/12/31,579.4196,567.585,
1999/12/31,542.0879,522.9527,
2000/12/31,497.5704,506.5299,
2001/12/31,493.1085,504.5185,
2002/12/31,470.971,494.3771,
2003/12/31,454.1282,475.8351,
2004/12/31,447.7975,463.1556,
2005/12/31,468.7252,469.0428,
2006/12/31,475.2213,479.3354,
2007/12/31,466.0727,471.7739,
2008/12/31,467.6108,458.6142,
2009/12/31,404.5035,431.8787,
2010/12/31,362.7422,404.5023,
2011/12/31,346.292,387.0597,
2012/12/31,353.5362,387.7538,
2013/12/31,341.0223,369.1334,
2014/12/31,329.1421,361.5539,
2015/12/31,346.1221,373.7372,
2016/12/31,371.8436,397.5208,
2017/12/31,370.3996,394.8597,
2018/12/31,377.614,380.559,